Price,Close,High,Low,Open,Volume
Ticker,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS,GRASIM.NS
Date,,,,,
2021-03-10,1345.2598876953125,1349.4363452717969,1320.9295166282009,1338.4124065892513,1090258
2021-03-12,1339.8692626953125,1364.5881633739016,1335.4985402432565,1354.923960137409,1210907
2021-03-15,1344.3370361328125,1351.9130101401918,1308.302920718564,1349.0962881206049,974779
2021-03-16,1344.7257080078125,1357.5950448036479,1336.3727925515593,1340.4521178192701,1181261
2021-03-17,1327.8255615234375,1354.82683703565,1322.1921171039653,1342.8802590694777,1009550
2021-03-18,1347.930908203125,1359.6832212511192,1332.5848132931637,1352.0102333135753,1797660
2021-03-19,1370.70703125,1374.3493789984202,1323.8432440720685,1340.9376025627096,2441007
2021-03-22,1373.281005859375,1386.975967590875,1360.994464703339,1378.2345229171294,1593946
2021-03-23,1370.70703125,1381.6338364255362,1353.8069376544674,1373.280922075324,1007993
2021-03-24,1347.7852783203125,1368.5218685294824,1340.0150384945662,1368.5218685294824,1496233
2021-03-25,1333.3131103515625,1360.2173708706096,1314.7133172916401,1343.75437269865,2174481
2021-03-26,1365.2196044921875,1370.9014963995035,1339.3837980871529,1341.3263282871296,1772011
2021-03-30,1381.7310791015625,1400.2338595578103,1355.6524432711674,1375.9034888879976,2584538
2021-03-31,1408.8782958984375,1414.171658073565,1369.4932244355223,1376.2921398003102,1247057
2021-04-01,1412.71484375,1424.8556879824707,1395.669047976819,1418.0568913946147,1275251
2021-04-05,1404.944580078125,1430.3918555740795,1384.1593054466061,1413.2003628421694,1402086
2021-04-06,1391.395263671875,1407.6154312117567,1385.033445039155,1405.4300700315132,739833
2021-04-07,1396.1060791015625,1403.0020078359948,1386.7818387917932,1386.7818387917932,609297
2021-04-08,1406.207275390625,1421.261974077454,1392.3666134698012,1405.235950749915,1573056
2021-04-09,1398.6312255859375,1427.1380548145344,1391.68673091535,1413.200380209042,1129821
2021-04-12,1337.052734375,1384.0136607315696,1328.262722750889,1377.2147455328486,1328953
2021-04-13,1352.20458984375,1366.287963771184,1331.2250490951558,1333.3618442518282,1428913
2021-04-15,1310.4884033203125,1359.7318223120865,1286.9350913577432,1352.9814735051216,2016916
2021-04-16,1314.324951171875,1340.3550228733352,1302.4753858438771,1304.4180351065663,1443699
2021-04-19,1286.6435546875,1300.5326615995493,1267.7522457051475,1292.0826147069743,1241897
2021-04-20,1254.7860107421875,1333.8961195799923,1244.7819618507474,1312.2853360972397,3702862
2021-04-22,1262.847412109375,1275.9110122216712,1233.8063574650419,1235.3603576059675,1876238
2021-04-23,1241.38232421875,1285.1381155093966,1225.7449508815637,1261.681936468743,2851038
2021-04-26,1274.6484375,1283.0499191242807,1248.0841381914006,1248.0841381914006,1238450
2021-04-27,1292.9569091796875,1300.7270295473447,1270.4233696576848,1282.0786692440436,1241249
2021-04-28,1302.620849609375,1310.2453894856917,1283.1954317998113,1299.0271871912837,1288850
2021-04-29,1311.896728515625,1330.1566788867215,1294.0253079881481,1315.49039149935,1800136
2021-04-30,1361.47998046875,1366.9677259099335,1294.7051101291713,1303.446554626563,3274647
2021-05-03,1373.9124755859375,1384.1107888344648,1334.7702363619728,1356.4781510848313,1793989
2021-05-04,1375.272216796875,1407.275696399034,1363.6654828125127,1374.3495774467485,2079242
2021-05-05,1380.079833984375,1413.1516467981662,1364.6366080931998,1379.302774405245,2165853
2021-05-06,1406.304443359375,1408.3441061214787,1377.3605157889453,1379.2059136180023,1643323
2021-05-07,1407.95556640625,1419.902264530616,1392.1238077179005,1408.3440962696252,1272527
2021-05-10,1403.050537109375,1432.6258238644737,1389.1614285084722,1418.056788040387,2080852
2021-05-11,1408.48974609375,1426.7496967596894,1384.0622411653965,1384.0622411653965,1527199
2021-05-12,1371.7755126953125,1414.8028070337448,1367.599055445547,1410.237819986817,1354561
2021-05-14,1327.728515625,1381.0998281951015,1315.9275165396807,1379.205864200644,1245183
2021-05-17,1353.80712890625,1360.168948015195,1323.3092025538733,1333.6532145053786,755051
2021-05-18,1352.398681640625,1386.8302308976986,1346.279575308832,1364.7337886852965,1049467
2021-05-19,1349.7762451171875,1381.0512282700442,1340.7434031926414,1351.038847962236,912471
2021-05-20,1335.741455078125,1349.0964544111898,1325.8831053467213,1349.0964544111898,886461
2021-05-21,1332.4390869140625,1347.105254322495,1325.7858708749784,1340.3549058287583,743088
2021-05-24,1331.3707275390625,1336.8584735595905,1311.7996078053175,1333.2161252779076,1450921
2021-05-25,1335.4013671875,1359.051929165482,1315.2961397471915,1340.3548842251964,3103636
2021-05-26,1368.910400390625,1390.812580171586,1341.374894931483,1345.2113891017475,4319669
2021-05-27,1376.437744140625,1394.9889721501606,1352.9814460778389,1374.3009491173061,4469025
2021-05-28,1423.3502197265625,1437.4822792054733,1380.177219637909,1387.170400028456,2700533
2021-05-31,1428.93505859375,1451.9541428237037,1413.2004329121348,1423.155915144475,2951302
2021-06-01,1403.050537109375,1436.6565829035953,1395.717512484543,1433.208618627203,1122065
2021-06-02,1400.8165283203125,1412.6660926342613,1384.5963606439796,1402.5163462797004,1804692
2021-06-03,1416.8426513671875,1421.9418675399909,1394.7947728957606,1403.6819170075655,1010766
2021-06-04,1460.0640869140625,1463.7064348728902,1410.6264060549395,1416.891092179491,2566329
2021-06-07,1457.878662109375,1486.9682831091686,1452.633866972019,1474.97313987612,2501045
2021-06-08,1459.967041015625,1472.4965330424127,1447.3891017942515,1465.6004855634521,1031475
2021-06-09,1449.1859130859375,1484.0059945676205,1442.3384319317126,1466.7173693987445,1734171
2021-06-10,1449.6231689453125,1473.4193142900963,1444.4755052311468,1448.1663009560034,879471
2021-06-11,1447.7777099609375,1466.6203366977338,1433.111541114076,1462.6381437361572,899012
2021-06-14,1450.108642578125,1454.6736299234392,1415.3371280171234,1438.9390053539385,685484
2021-06-15,1452.2940673828125,1471.4766568976688,1445.2523211452444,1452.0512362330815,817869
2021-06-16,1426.992431640625,1458.4129956076765,1421.8446495466071,1452.5368391291304,921327
2021-06-17,1416.308349609375,1447.826165333826,1408.8781928081294,1422.9129995631897,798597
2021-06-18,1438.2105712890625,1446.4179070246896,1379.2543822243904,1421.9418365770343,1491403
2021-06-21,1453.65380859375,1457.7331338557738,1413.2004005496171,1419.3193884426528,1150374
2021-06-22,1453.3138427734375,1477.1101051571968,1450.157275888877,1456.9076247634735,1410254
2021-06-23,1455.693359375,1468.8055262961077,1441.3671558285462,1456.9075150352148,977659
2021-06-24,1455.8392333984375,1463.7066059195856,1444.766727618027,1454.9651602526765,1150441
2021-06-25,1463.560791015625,1471.4766101056296,1447.1948052883222,1458.5587075599833,1198951
2021-06-28,1476.915771484375,1502.5573113472515,1469.2912308235166,1471.4765920398952,2457270
2021-06-29,1460.11279296875,1479.4896479170254,1455.936335152423,1473.419226117469,737277
2021-06-30,1455.693359375,1466.3288868190068,1448.1660704211429,1460.1126479084446,902718
2021-07-01,1457.1990966796875,1465.0177839807934,1446.2237232976784,1460.0642663304034,637573
2021-07-02,1446.9521484375,1469.4856907814703,1444.281243623425,1461.764135674981,745289
2021-07-05,1446.9034423828125,1464.6777301222742,1443.3097794652238,1454.4794170893358,787645
2021-07-06,1454.236572265625,1481.1894009987,1448.8460779399352,1448.8945251341618,1828294
2021-07-07,1450.9342041015625,1456.9074927538602,1433.5968947829258,1452.0511082570101,1123558
2021-07-08,1433.0628662109375,1455.6934192648475,1429.906180399376,1453.79945539186,1079337
