Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2021-03-10,2879.39013671875,2926.2521939347653,2869.706136652491,2904.3579329153977,787897
2021-03-12,2821.45458984375,2879.0954028726483,2787.3079214707413,2825.201835810978,1098158
2021-03-15,2748.69873046875,2837.3284043615176,2730.8886692089836,2829.4128672655515,781236
2021-03-16,2741.03564453125,2778.88741840072,2735.0988893834965,2778.0031858318766,523881
2021-03-17,2686.720947265625,2761.119216684863,2673.62645218542,2742.677592052886,991815
2021-03-18,2616.53271484375,2709.583329395025,2587.143960446778,2709.583329395025,1472097
2021-03-19,2626.595703125,2637.4587492710293,2556.5762481295064,2597.838513003797,1554560
2021-03-22,2606.9755859375,2647.479854505715,2594.596740360573,2637.0802015543295,619756
2021-03-23,2583.059814453125,2637.4165732602955,2577.2494961915404,2617.122193638397,944310
2021-03-24,2554.76611328125,2598.6387292590343,2545.629385715378,2583.5233064422027,975533
2021-03-25,2477.12548828125,2568.028957134045,2464.873285185224,2554.1345196878774,1075251
2021-03-26,2473.883544921875,2511.777464750044,2468.1573114747503,2502.682882873749,611318
2021-03-30,2495.81982421875,2506.3459125075624,2456.03121048704,2471.483384742419,899455
2021-03-31,2453.50537109375,2494.2623097197225,2443.7370772473446,2488.8730338244145,1212659
2021-04-01,2489.29345703125,2530.429283531101,2469.8411651423257,2483.3145571103714,1067722
2021-04-05,2431.02099609375,2503.4826270793733,2413.9267936339243,2493.419728058337,1152927
2021-04-06,2431.9052734375,2465.630901164194,2415.1056777796816,2442.052463584755,788062
2021-04-07,2477.08349609375,2483.230567454851,2421.042558459934,2425.2108484882388,649751
2021-04-08,2465.630615234375,2518.134819347798,2453.3360634014984,2500.156180543326,953450
2021-04-09,2452.91552734375,2482.472867945472,2443.021003531552,2465.631125286412,557093
2021-04-12,2346.138671875,2433.5892834328993,2308.2447568921216,2420.1580369064973,859305
