Price,Close,High,Low,Open,Volume
Ticker,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS
Date,,,,,
2021-03-10,26997.05078125,27132.300388139254,26746.436881980244,26980.49308047592,29812
2021-03-12,27139.79296875,27412.64578689331,26982.54744877872,27312.714054575114,43864
2021-03-15,27083.99609375,27285.27937312465,26457.51121511153,27247.560046163595,32587
2021-03-16,26874.58203125,27381.53884914241,26796.4969728289,27329.368607938868,38175
2021-03-17,26297.9140625,26991.36261218816,26169.277609488123,26874.873190841874,38409
2021-03-18,26056.216796875,26716.99005032889,25913.667134565763,26574.98000094882,38464
2021-03-19,26390.498046875,26568.367484369097,25570.764755912845,25918.56634550476,74153
2021-03-22,26407.939453125,26662.324872799087,26078.262715438283,26354.54455801675,45373
2021-03-23,27738.109375,27922.102097387073,26404.51135532207,26404.51135532207,123156
2021-03-24,27239.52734375,27814.967140297493,27157.818080566358,27600.75037010135,63069
2021-03-25,27021.09375,27569.346173248665,26712.088837278814,27334.262484067327,64357
2021-03-26,27546.08203125,27745.700556150918,27111.91939367505,27246.776709251324,74139
2021-03-30,28504.49609375,28901.823452417026,27727.920324242907,27922.100623521535,94570
2021-03-31,28867.92578125,29058.579463400034,28172.91001515615,28504.4964452766,82764
2021-04-01,29344.609375,29665.518363462103,28848.331907976688,28970.40499372758,52771
2021-04-05,29742.66796875,30007.340450529664,29048.779335878633,29293.71002167862,124392
2021-04-06,29503.46875,29881.54414534979,29401.822513767867,29759.0788004918,52886
2021-04-07,29617.662109375,29960.612981394745,29345.641648425295,29528.84984086864,40554
2021-04-08,30942.2421875,31398.155802635163,29646.411463671368,29646.411463671368,148094
2021-04-09,31104.974609375,31341.332737632387,30488.97389168865,31039.97038354087,146698
2021-04-12,29275.150390625,30858.725153262636,29154.447378493813,30567.355173488006,114698
2021-04-13,29740.51953125,30077.396883878042,29499.45793472754,29587.63299995921,91665
2021-04-15,29690.890625,30269.564258069222,28915.537647122892,29978.536845710965,72414
2021-04-16,30196.1328125,30360.43346766576,29446.694651728892,29822.760850911098,58345
2021-04-19,29448.259765625,29872.039581748097,28957.958309486265,29392.71025435892,52945
2021-04-20,28726.16015625,30034.189716633373,28461.929658401787,29803.170293916988,72618
2021-04-22,27943.609375,28607.911313915447,27513.90325420144,28607.911313915447,83043
2021-04-23,27536.3828125,28091.933460241096,27359.738031938734,27921.11917826477,70968
2021-04-26,27493.568359375,27867.3823549738,27384.28143036083,27676.18906997198,40346
2021-04-27,27528.7890625,27750.646510767278,27397.946325634843,27614.170368167368,31369
2021-04-28,28105.849609375,28197.40394624846,27535.208875129312,27608.590500861043,33961
2021-04-29,27867.578125,28460.947627518563,27676.581928618954,28119.074118413322,47589
2021-04-30,27344.5546875,27855.822675612188,27244.28043620393,27765.345652845703,32147
2021-05-03,27422.294921875,27511.15693148304,26773.47347176156,26942.37807190567,38741
2021-05-04,27190.54296875,27541.478928604356,26972.74981354273,27541.33158747245,41857
2021-05-05,27279.595703125,27475.73734775036,27151.351524683476,27285.278860540267,24250
2021-05-06,27173.7890625,27379.580619486012,26942.37928294012,27280.38367758064,33337
2021-05-07,27275.484375,27381.539374410695,27138.323174838362,27282.342435008082,21548
2021-05-10,26756.181640625,27466.677809082164,26686.083617880526,27411.665987612974,49736
2021-05-11,26955.2109375,27021.539319053372,26201.90169523052,26648.460112075874,60904
2021-05-12,26289.1484375,26893.39251150625,26209.545955111662,26859.34714211554,59338
2021-05-14,26171.923828125,26460.109685891206,25972.45263944519,26369.240391952746,37370
2021-05-17,26774.107421875,26844.352775488092,26061.064460876325,26206.603036335455,37999
