Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-03-10,2699.601806640625,2719.1612723280527,2689.975955214769,2703.1621118579787,3053778
2021-03-12,2688.17333984375,2740.0828771190104,2673.5807911171387,2703.16164489604,2938317
2021-03-15,2695.381103515625,2724.258860732784,2673.27240899916,2673.27240899916,3097083
2021-03-16,2733.9736328125,2761.181024691169,2689.975783366755,2689.975783366755,4894756
2021-03-17,2736.522216796875,2773.4874409863096,2712.2158279236933,2729.5335988153697,3838390
2021-03-18,2669.31689453125,2765.9713526955748,2625.8465865790577,2747.9502770038603,3656306
2021-03-19,2681.360595703125,2724.259595798463,2641.6263586235505,2663.603283404112,5776626
2021-03-22,2751.203369140625,2759.8183670461376,2653.6258178158228,2680.04212576032,2821646
2021-03-23,2762.58740234375,2785.7949487612345,2745.225631994102,2760.301716349093,3305973
2021-03-24,2743.6875,2771.114661370174,2734.940511551291,2734.98450832801,2207104
2021-03-25,2694.239013671875,2752.258091028489,2681.1846354192803,2735.8631775195627,3179786
2021-03-26,2695.953125,2740.9618201102044,2675.075048275299,2716.918980645141,3697370
2021-03-30,2776.608642578125,2802.89295847513,2690.76664657172,2710.1943337083953,4694008
2021-03-31,2793.574951171875,2817.441806052853,2753.269184573334,2773.487955724415,3530069
2021-04-01,2782.2783203125,2826.2321642352886,2764.6967827433846,2805.222312687547,4285076
2021-04-05,2847.242431640625,2868.4282733530854,2769.9716485858326,2787.553188722842,5317862
2021-04-06,2869.9228515625,2878.9773882568857,2839.4189203266383,2878.9773882568857,2291562
2021-04-07,2875.8125,2881.2189524865717,2843.638409585986,2864.9120307136286,2491268
2021-04-08,2916.20556640625,2931.7211863879143,2871.1088827444364,2874.5811932499187,2578118
2021-04-09,2920.513671875,2948.7321304719153,2907.986824159079,2948.424367663105,2911129
2021-04-12,2853.9677734375,2934.4473240627585,2824.650466597802,2920.5138663194834,3791828
2021-04-13,2728.698974609375,2825.35344676723,2701.4475879106244,2825.35344676723,8654596
2021-04-15,2829.705078125,2845.7922313533463,2714.1064439685506,2778.147294061527,6062760
2021-04-16,2808.7822265625,2854.362445705138,2797.749984123038,2838.539062883243,3224657
2021-04-19,2779.465576171875,2803.376426569832,2755.994264254095,2785.794887362746,2679106
2021-04-20,2764.302001953125,2835.3314762070754,2748.302841285095,2835.0237133675523,3141893
2021-04-22,2741.6650390625,2767.334041248242,2729.753504315789,2767.334041248242,1988980
2021-04-23,2733.490478515625,2741.841711686842,2717.2715475436366,2729.5346312239963,1615309
2021-04-26,2725.841552734375,2771.7293216051144,2714.6333228420613,2726.940398802249,2490260
2021-04-27,2753.26953125,2756.8738332781295,2727.776294849537,2730.4135262013087,1471417
2021-04-28,2746.324462890625,2769.9715476659917,2735.6875456479106,2769.0484739187477,1639037
2021-04-29,2738.54443359375,2775.5536585645473,2729.9734334404593,2765.2245045336585,1621395
2021-04-30,2668.5693359375,2753.312466128327,2654.811870205795,2724.2589356846884,3072305
2021-05-03,2669.756591796875,2685.5799762724573,2640.7470535916405,2659.119675274267,1545831
2021-05-04,2680.96484375,2716.3476898721206,2667.998459146241,2692.4368405095456,1990777
